brewery,beer name,size,style,description from brewer,color,ABV,OG,FG,IBU,availability,calories,calories/serving size,ingredients,grains,Hops,yeast,other ingredients,distributor,item,upc,reg price,post off,net case price,unit price,deposit,suggested +20%,suggested +25%,suggested +30%,,,,
Blue Point Brewing Co.,Extra Special Bitter,,ESB,"Winner of a Bronze Medal in the World Beer Cup, Blue Point's ESB is a traditional English style ale made with 2-row pale and English crystal malt. The malt of this full-bodied ale is balanced by copious amounts of English hops. Both Kent Goldings and Fuggles are used to impart a rich hop taste. Crack open a fresh jug of ESB, slice off a piece of tasty Gouda, sit back, and enjoy this unapologetic, mouth-puckering bitter handcrafted ale",,5,1.056,,35,,,,,2-row pale and English crystal malt,,,,,,,,,,,,,,,,,,
Capital Brewery,Wisconsin Amber,,Amber,"Loosely based on Vienna style, Wisconsin Amber is a rich, malty lager balanced out with mild hop bittering and enticing hop flavor. Very fulfilling. Very drinkable.",,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Brewery,Island Wheat,,American Wheat Ale,"An American Style Wheat Ale brewed with wheat grown on Wisconsin's famous Washington Island. Bring a special part of Wisconsin to any occasion with this brew.",,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Brewery,Rustic Ale,,American Amber Ale,"This is an American Amber Ale. Cloudy from the yeast, this moderately rich ale is just bitter enough to balance the sweetness of the malt. Grain from Washington Island is used in this brew, but it is not the dominating malt.",,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Brewery,U.S. Pale Ale,,American Pale Ale,"This is an American pale ale defined by the assertive, but not overshelming, use of American Cascade hops. Exhibiting an inviting golden hue, U.S. Pale Ale is a zesty choice fo those who believe that hope are ""hip"". Refreshing and clean with medium bodied flavor and an easy, dry, and memorable finish. Hops with an American accent. Disarmingly drinkable.",,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Brewery,Capital Dark,,Munich Dark,"Without a doubt the finest dark beer brewed in the United States. Styled after a traditional Munchener-Dunkel, Munich Dark is a rich, delicious beer combined with excellent drinkability-a rare combination.",,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Brewery,Capital Pilsner,,German Pilsner,"An authentic German style pilsner. A superbly balanced beer, with a firm maltiness alongside hearty hop bittering and flavor notes.",,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Brewery,Bavarian Lager,,Pilsner,"While being a mild pilsner style beer, Bavarian Lager is our version of a clasic German ""Helles"" style of beer from Bavaria. Bavarian Lager is pale golden colored with a nice hop character over-laying mellow malt flavor.",,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Brewery,Maibock,,Bock,"A bock beer with a beautiful, deep golden hue. Very smooth, this beer has great depth of character, and is an excellent beer to celebrate the end of winter and beginning of spring. ABV 6.2%",,6.2,,,,Spring,,,,,,,,,,,,,,,,,,,,,,
Capital Brewery,Wild Rice,,,"Summer Seasonal 2009 - This is a beer unlike any other. Wild Rice adds a unique flavor, defying conventional expectations, yet is extremely drinkable. This brew offers a fruity/nutty flavor that is quite refreshing. ABV 5.4%",,5.4,,,,Summer,,,,,,,,,,,,,,,,,,,,,,
Capital Brewery,Oktoberfest,,Marzen,A traditional marzen style beer with a gorgeous firey dark orange color. Oktoberfest emphasizes a rich malt character. A great way to fortify oneself as the nights start to get cooler. ABV 5.5%,,5.5,,,,Fall,,,,,,,,,,,,,,,,,,,,,,
Capital Brewery,Winter Skal,,,A pleasingly warming beer with its amber hue showing off its rich malt heritage. Mildly bittered with a smooth hop flavor complementing the malt. Winter Skå makes a person welcome the onslaught of the cold. ABV 5.5%,,5.5,,,,Winter,,,,,,,,,,,,,,,,,,,,,,
Capital Brewery,Blonde Doppelbock,,German Lager,"A deep golden color leads one to an extremely flavorful, yet very drinkable beer of great character. Treat this malt monster with respect!",,,,,,Limited,,,,,,,,,,,,,,,,,,,,,,
Capital Brewery,Autumnal Fire,,Brandy Snifter,"A blazing rich beer, this is a doppelbock based on an Oktoberfest personality. Warm and intriguing, the perfect ""Brandy Snifter"" beer. ABV 7.26% Available starting in September.",,7.26,,,,Limited,,,,,,,,,,,,,,,,,,,,,,
Utah Brewers Cooperative,1st Amendment Lager,,Lager,"A turn of the century pure malt, crisp lager. 1st Amendment Lager is made with European style hops and Munich malts. This beer has a wonderful, clean, crisp flavor certain to please all.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Brewers Cooperative,Polygamy Porter,,Brown Porter,"This dark, medium bodied ale offers the drink-ability of a much lighter beer. The inviting chocolate and malty flavors fade into a slightly dry, silky smooth finish. Why have just one? 4.0% alcohol by volume.",,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Brewers Cooperative,Evolution Amber Ale,,Amber Ale,"This highly controverisal beer is actually a straight-forward, well-balanced, malty amber ale. Tettnanager hops provide a subtle spicy character, which balances out this well-rounded and highly drinkable amber ale.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Brewers Cooperative,Apricot Hefeweizen,,Apricot Hefeweizen,"Possibly one of the most refreshing beers we've ever made. We start with a traditional German style unfiltered wheat beer (hefe-weizen translates literally as ""yeasty wheat beer""). Brewed with a hybrid Bavarian yeast strain that imparts the defining flavor notes of licorice, clove, and banana. Add to this natural apricot flavor, and you have one astonishingly refreshing beer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Brewers Cooperative,Wasatch Raspberry Wheat Beer,,,"If you like raspberries, this one's for you. We start with our traditional wheat beer and add natural raspberry flavor that keeps you coming back for more.",,,,,,Spring,,,,,,,,,,,,,,,,,,,,,,
Utah Brewers Cooperative,Wasatch Summberbrau Lager,,Pilsner-Lager,"For your summer drinking pleasure, we're proud to announce the release of Wasatch Summerbrau Lager is a 5.6% copper-hued Czech-style pilsner-lager. Our German style lager is designed to be the perfect companion for any summer celebration. Starting with the finest German pale malts and attacking it with a blitzkrieg of hops, this lager has a perfect finish of bitterness and aroma. Prosit!",,5.6,,,,Summer,,,,,,,,,,,,,,,,,,,,,,
Utah Brewers Cooperative,Wasatch Hefe-weizen,,Hefeweizen ,"A traditional German-style unfiltered wheat beer, hefe-weizen translates literally as ""yeasty wheat beer."" We brew this product using a hybrid Bavarian yeast strain which imparts the style defining flavor notes of licorice, clove and banana. Add to this the tangy sweetness of wheat malt and the flowery bitterness of Hallertau hops and you have a truly authentic hefe-weizen. 4.0% alcohol by volume.",,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Brewers Cooperative,Devastator Double Bock,,Double Bock,"The Devastator is a strong, amber lager (8% alcohol by volume). It has a fluffy white head with a bready malt aroma and a rich body that leaves you with a warming feeling. This Double Bock style dates back over a century when Monastic brewers knew it as ""liquid bread.""",,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Brewers Cooperative,Wasatch Winterfest Seasonal Ale,,Amber Ale,"Wasatch Winterfest Seasonal Ale (7.1% alcohol by volume) is a rich amber ale with caramel malt flavors and a large hop presence. Brewed with the finest Northwestern pale and caramel malts then generously hopped with Columbus and Amarillo hops. Crafted in the spirit and style of the Sierra Nevada Celebration.\nInspiration? ""This new seasonal was brewed to warm you through the cold winter months! Our Winterfest Ale makes a wonderful compliment to an epic day on the mountain, and the perfect companion around the fire. It's our toast to Utah.",,7.1,,,,Winter,,,,,,,,,,,,,,,,,,,,,,
Utah Brewers Cooperative,Wasatch White Label,,Belgian White Ale,"Wasatch White Label is an easy-drinking Belgian-style White Ale with 6% alcohol by volume and subtlety seasoned with orange peel and coriander. The beer is kind of like Blue Moon, but bigger, better, and bolder. Unlike Blue Moon, which you know is made by Coors in Canada, this is a true craft beer made right hear in Utah.",,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Brewers Cooperative,Provo Girl Pilsner,,German Pilsner,"In the Bavarian tradition, this crisp, clean golden-hued pilsner is brewed with German variety Magnum hops, then lagered for 30 days for superb drinkability. Provo Girl is the type of pilsner you would find in the Munich area of Germany. 4.0% alcohol by volume.",,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Brewers Cooperative,Squatters American Hefeweizen,,American Hefeweizen,"This medium-bodied, American style, unfiltered wheat beer is brewed with a special Alt Bier yeast. That creates subtle citrus flavors that balance perfectly with the aroma and bitterness of Tettnanger hops and the delicate flavor of the malted wheat. Serve Squatters American Wheat with a lemon wedge for a refreshing treat. 4.0% alcohol by volume.",,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Brewers Cooperative,Squatters Full Suspension Pale Ale,,Northwest Pale Ale,"This two-time gold medal winning Northwest style pale ale has a great balance between the malty english barley and the aromatic hops from Washington's Yakima Valley. Unfiltered, dry-hopped and very drinkable. 4.0% alcohol by volume.",,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Brewers Cooperative,Squatters Organic Amber Ale,,Amber Ale,"This refreshing amber ale is brewed with premium pale and caramel malted barley and aromatic hops. The flavor is malt driven but the essence of the hops shine through in the aroma.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Brewers Cooperative,Squatters India Pale Ale,,IPA,"This classic IPA (6.0% alcohol by volume) has a golden to copper color, generous hop flavors and aromas and the delicate maltiness of premium English barley. British brewers in the 1800's increased hops and alcohol to preserve the brew during its long voyage from England to British troops stationed in India. Thus a new beer style was born.",,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Brewers Cooperative,Squatters Chasing Tail Golden Ale,"12oz bottles, 16oz cans",English Ale,"Chasing Tail Golden Ale is a delicious English Ale, made from traditional English malt and hops. Well-balanced for easy drinking, Chasing Tail was a Gold Medal winner at the 2003 and 2004 Great American Beer Festival. Available in 12-oz bottles and 16-oz cans.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Brewers Cooperative,Squatters Captain Bastard's Oatmeal Stout,,Oatmeal Stout,"This Irish style dry stout is smooth as silk, full of flavor, with a big roasted barley character and slight hop finish. Captain Bastard is brewed with oatmeal, roasted barley, pale, caramel and chocolate malts and chinook hops. 4.0% alcohol by volume.",,4,,,,,,,,"oatmeal, roasted barley, pale, caramel and chocolate",,,,,,,,,,,,,,,,,,
Utah Brewers Cooperative,Wasatch Pumpkin Ale,,Amber Ale,"Brewed with the finest barley and pure pumpkin, then spiced like your favorite holiday pie. This amber-hued ale is sure to please!",,,,,,Fall,,,,,,,,,,,,,,,,,,,,,,
Utah Brewers Cooperative,Wasatch Bobsled Brown,,American Brown Ale,"Bobsled Brown is patterned as an American-style Brown Ale with a roasted malt undertone and the generous use of American-grown Willamette hops. This is one beer to be sure not to miss!",,,,,,Winter,,,,,,,,,,,,,,,,,,,,,,
Utah Brewers Cooperative,Wit Bier Belgian Style White Beer,,Belgian White,,,,,,,Spring/Summer,,,,,,,,,,,,,,,,,,,,,,
Utah Brewers Cooperative,Orphan Abbey Belgian Style Ale,,Belgian Ale,,,,,,,Fall/Winter,,,,,,,,,,,,,,,,,,,,,,
Sierra Nevada Brewing Co.,Sierra Nevada Pale Ale,,Pale Ale,"Our most popular beer, Sierra Nevada Pale Ale, is a delightful interpretation of a classic style. It has a deep amber color and an exceptionally full-bodied, complex character. Generous quantities of premium Cascade hops give the Pale Ale its fragrant bouquet and spicy flavor.",,5.6,13,2.8,37,,,,,Two-row Pale & Caramel,"Magnum & Perle, Cascade",Top-fermenting Ale Yeast,,,,,,,,,,,,,,,,
Sierra Nevada Brewing Co.,Sierra Nevada Porter, ,Porter,"Dark and rich, Sierra Nevada Porter is a delicious, medium-bodied ale with a creamy head. The Porter's smooth flavor (malty with hints of caramel) comes from a blend of deep-roasted barley malts.",,5.6,14.5,3.8,40,,,,,"Two-row Pale, Munich, Chocolate & Caramel","Goldings, Willamette",Top-fermenting Ale Yeast,,,,,,,,,,,,,,,,
Sierra Nevada Brewing Co.,Sierrra Nevada Stout,,Stout,"Creamy, malty, and full-bodied, the Sierra Nevada Stout is satisfyingly rich. Caramel and Black malts give the Stout its deep, dark color and pronounced roasted flavor.",,5.8,16,4.8,60,,,,,"Two-row Pale, Munich, Caramel & Black","Magnum, Cascade & Willamette",Top-fermenting Ale Yeast,,,,,,,,,,,,,,,,
Sierra Nevada Brewing Co.,Sierra Nevada  Kellerweis Hefeweizen,,Hefeweizen ,"Kellerweis is one of the only American Hefeweizens made using the traditional Bavarian style of open fermentation. This difficult and labor-intensive technique adds uncommon depth and flavor complexity. Our hazy-golden hefeweizen is deeply flavorful, refreshing and perfect for a sunny day. To serve, pour two-thirds into a glass, swirl and pour the rest.",,4.8,12.8,3.5,15,,,,,"Two-row Pale, Wheat, Munich",Perle or Sterling,Ale Yeast,,,,,,,,,,,,,,,,
Sierra Nevada Brewing Co.,Sierra Nevada Torpedo Extra IPA,,American IPA,"Sierra Nevada Torpedo Ale is a big American IPA; bold, assertive and full of flavor and aromas highlighting the complex citrus, pine and herbal character of whole-cone American hops.",,7.2,17.8,4.6,70,,,,,"Two-row Pale, & Crystal","Magnum, Crystal & Citra",Ale Yeast,,,,,,,,,,,,,,,,
Sierra Nevada Brewing Co.,Sierra Nevada ESB Early Spring Beer,,ESB,"Our ESB combines the best of English tradition with West Coast style. A blend of malts featuring British-grown Maris Otter is balanced with the earthy spiciness of hand-selected English and US hops. The ale is left unfiltered, which enhances mouthfeel and hop aroma creating a slightly reddish-copper hue.",,5.9,14.4,3.6,45-46,Spring,,,,"Two-row Pale, Maris Otter, Crystal","English Challenger, U.S. Challenger, U.S. Goldings, & Crystal & East Kent Goldings",Top-fermenting Ale Yeast,,,,,,,,,,,,,,,,
Sierra Nevada Brewing Co.,Sierra Nevada Summerfest,,Pilsner-Lager,"Our Summerfest® is a refreshing, pilsner-style lager. Its incredible smoothness comes from an extra-long lagering period. Lighter in body than our ales but just as complex in character, Summerfest® quenches your thirst with big aroma and a tangy hop bite.",,5,11.8,2.8,32,Summer,,,,Two-row Pale & Munich,Perle & Saaz,Bottom-fermenting Lager Yeast,,,,,,,,,,,,,,,,
Sierra Nevada Brewing Co.,Sierra Nevada Anniversary Ale,,American IPA,"Anniversaries are important. They are benchmarks to help us gauge where we stand, and more importantly, they help us to see where we have come from. Each fall, we like to celebrate our anniversary by releasing a very special beer. A beer that represents our past while looking forward to our future. For the past 28 years, we at Sierra Nevada have had a commitment to using the finest raw ingredients, and the freshest, most flavorful hops in all of our award winning ales and lagers. Our Anniversary Ale is no exception.\nThis beer is a big, full-flavored ale bursting at the seams with fresh, spicy and aromatic hops. Our 2008 Anniversary Ale is brewed in the style of an American IPA, a style that Sierra Nevada helped create. This beer is a complex brew made up with a combination of four varieties of malts that add a rich and complex backbone to showcase our signature hop variety: the Cascade. This hop produces the big piney and citrusy flavors that Sierra Nevada beers are known for and is one of the varieties that have become the definition for what the new styles of American beers represent.\nCome help us celebrate 28 years by raising a glass of Anniversary Ale. Take a look back at where we've come from, and join us in looking forward to the future.",,5.9,14.9,3.5,46,,,,,"Two-row Pale, Caramel & Munich","Cascade, Chinook",Top-fermenting Ale Yeast,,,,,,,,,,,,,,,,
Sierra Nevada Brewing Co.,Sierra Nevada Celebration  Ale,,IPA,"The long, cold nights of winter are a little brighter with Celebration® Ale. Wonderfully robust and rich, Celebration® Ale is dry-hopped for a lively, intense aroma. Brewed especially for the holidays, it is perfect for a festive gathering or for a quiet evening at home.",,6.8,16,4,62,Winter,,,,Two-row Pale & English Caramel,"Cascade & Centennial, Chinook",Top-fermenting Ale Yeast,,,,,,,,,,,,,,,,
Sierra Nevada Brewing Co.,Sierra Nevada Bigfoot Barleywine Style Ale,,Barleywine Ale,"This year marks the 25th release of Bigfoot®. Our award-winning barleywine boasts a dense, fruity bouquet, an intense flavor palate and a deep reddish-brown color. Its big maltiness is superbly balanced by a wonderfully bittersweet hoppiness.",,9.6,23,6,90,Limited,,,,Two-row Pale & English Caramel,"Cascade, Centennial & Chinook",Top-fermenting Ale Yeast,,,,,,,,,,,,,,,,
Sierra Nevada Brewing Co.,Sierra Nevada Harvest Series Wet Hop,,Hop Ale,"The cornerstone of our Harvest series is the beer that started the modern-day fresh hop ale phenomenon in America, our original Harvest Ale.Created in 1996, Harvest Ale features Cascade and Centennial hops from the Yakima Valley in Eastern Washington. These hops are harvested and shipped as ""wet"" un-dried hopsÑthe same day they are pickedÑto our brewery in Chico where our brewers eagerly wait to get them into the brew kettle while their oils and resins are still at their peak.",,6.7,16.5,4,60-65,Limited,,,,Two-row Pale & Caramel,Cascade & Centennial,Top-fermenting Ale Yeast,,,,,,,,,,,,,,,,
Sierra Nevada Brewing Co.,Sierra Nevada Harvest Series Southern Hemisphere,,,"Our newest addition to our Harvest family is Southern Hemisphere Harvest. This is the first time we know of that an American brewer has put out a beer with fresh-picked hops from the southern hemisphere. The inaugural ale will debut in late April and will feature fresh Pacific Hallertau, New Zealand Motueka and New Zealand Southern Cross hops, all from New Zealand.Like our Celebration Ale, the fresh hops in this beer are dried right after being picked then shipped immediately to Chico for brewing so that they retain their peak aromatics and flavors. To ensure the freshest hops possible, we went to the added expense of flying these hops from New Zealand to Chico so we could brew with them the week after they were picked.",,6.7,14.7,3.9,66,Limited,,,,Pale & Caramel,"New Zealand Motueka & New Zealand Southern Cross,Pacific Halertau",Ale Yeast,,,,,,,,,,,,,,,,
Pyramid Breweries,Pyramid Haywire Hefeweizen,,American Hefeweizen,The standard by which all other wheat beers are judged. Our deliciously deranged American-Style Hefeweizen is an award winning take on this Bavarian classic. This refreshingly unfiltered wheat ale delivers a distinctively smooth flavor worth sharing with friends.,,5.2,12.5,,,,,,,"39% 2 Row Pale Barley, 60% Malted Wheat,1% Caramel","Nugget, Liberty, Mt. Hood",,,,,,,,,,,,,,,,,
Pyramid Breweries,Pyramid Audacious Apricot Ale,,Apricot Ale,Our flavorful apricot ale boldly combines the taste and aroma of fresh apricot with the smooth finish of wheat malt. Its refreshingly unfiltered character and fruit flavor make it an ale worth savoring.,,5.1,11.75,,,,,,,"50% 2 Row Pale Barley, 50% Malted Wheat",Nugget or Summit,,,,,,,,,,,,,,,,,
Pyramid Breweries,Pyramid Thunderhead IPA,,IPA,Our hop heaping IPA is a golden nectar garnering thunderous reviews. Its floral aroma strikes a harmonious blend between a sweet malt flavor and bold hop bitterness. Enjoy this thirst quenching adventure.,,6.7,16.7,,,,,,,"2-Row Barley, Munich 10L, Caramel, Carapils","Nugget, Summit, or Tomahawk",,,,,,,,,,,,,,,,,
Pyramid Breweries,Pyramid Curveball Blonde Ale,,Blonde Ale,"Our deceptively drinkable golden summer seasonal is a crisp, clean-tasting, cold lagered ale. This frosty thirst quencher is the perfect accompaniment to summer adventures.",,5,,,18,Summer,,,,"2-Row Barley, Malted Wheat","Vanguard, Perle",,,,,,,,,,,,,,,,,
Pyramid Breweries,Pyramid Rollick Amerber Lager,,Amber Lager,Smooth malty character balanced with a gracious quantity of hops make this copper colored offering the perfect beer to celebrate your first rollicking spring adventure.,,6,16,,40,Spring,,,,"2 Row, Munich 20L, Carafa 2","Bittered with Summit, Finished Tettnang",,,,,,,,,,,,,,,,,
Pyramid Breweries,Pyramid Juggernaut Red Ale,,American Red Ale,"Juggernaut is an American Red ale brimming with delectable caramel malts, delicious hops and an unquenchable spirit.",,5.6,13.8,,,Fall,,,,"2 Row, Carared, C-120, Carafa II, and Roasted Barley","Simcoe, Cascade",,,,,,,,,,,,,,,,,
Pyramid Breweries,Pyramid Snow Cap Ale,,Ale,"A rich, full-bodied winter warmer crafted in the British tradition of holiday beers. This deep mahogany colored brew balances complex fruit flavors with a refreshingly smooth texture, making Snow Cap a highly drinkable and desirable cold weather companion.",,7,17.3,,,Winter,,,,"2-Row Barley, Caramel 80L, Chocolate Mal","Nugget, Willamette, East Kent Goldings",,,,,,,,,,,,,,,,,
Full Sail Brewing Co.,Full Sail Amber,,Amber,"Anyone remember the grocery store cooler back before it turned into a kaleidoscopic fantasy world of beer options? You pretty much had two choices: Regular or Light. In 1989, when we brewed our first batch of Full Sail Amber, not only was it the first Amber ale here in Beer Mecca (aka Oregon) -- it was the first craft beer to go into a bottle. And two things became immediately apparent. It wasn't Regular and it sure as heck wasn't Light. Our Amber is a sweet, malty, medium-bodied ale with a spicy, floral hop finish. ",,,,,,,,,,"2-row Pale, Crystal and Chocolate malts",Mt. Hoods and Cascades,,,,,,,,,,,,,,,,,
Full Sail Brewing Co.,Full Sail IPA,,IPA,"The British colonists who oncevisited India invented India Pale Ale. But we seriously doubt they ever enjoyed one after a day of fullblown kiteboarding. What a shame. Generously hopped to 60 IBU's in the classic style, our IPA is a real thirst quencher. t has a full, malty body and there's even a hint of fresh citrus to it. Perfect after your favorite water sport. Even if that happens to be the grueling drag-the-poolside-lounge-chair-into-the-sun event.",,,,,60,,,,,,,,,,,,,,,,,,,,,,,
Full Sail Brewing Co.,Full Sail Pale Ale,,Pale Ale,"The way we see it, brewing a great Pale Ale is a lot like living a great life. It's all about finding the perfect balance. Between work and play, art and commerce, and yes, hops and barley. Dial in each flavor and nuance just right, and it's a beautiful thing. Our Pale Ale has a fresh, hoppy aroma that comes from two (top secret) Northwest hop varieties, while two-row Pale and Crystal malt give it a mild sweetness that finishes clean and crisp. Feeling out of whack? Put on some music, crack a Pale Ale, and readjust your balance. ",,,,,,,,,,two-row Pale and Crystal malt,,,,,,,,,,,,,,,,,,
Full Sail Brewing Co.,Wassial Winter Ale,,Ale,"A few unmistakable signs tell us when winter has arrived here in Hood River. The waterfalls in the Gorge start kicking out the jams. The snow report for the backcountry regains its hold over us. And the Wassail starts flowing once again. We've brewed Wassail every holiday season since 1988, and it's now as much a part of the festivities as sharing a roaring fire with our closest family and friends. A deep mahogany color, Wassail is brewed with four different malts and a blend of Pacific Northwest hops, giving it a malty full body and a pleasantly hoppy finish that appeals to both hop and malt lovers alike. In other words, a Christmas miracle.",,,,,,Winter,,,,,,,,,,,,,,,,,,,,,,
Full Sail Brewing Co.,Session Premium Lager,11 oz bottle,American Lager,"Crisp, smooth, refreshing Original Session, with the bright red label, is a classic all-malt pre-Prohibition style lager that reminds us of what American lagers used to taste like. It's flavorful, refreshing, and has a touch of that import-style taste. (Which, once upon a time, you didn't have to buy an ""import"" to get.) Oh, and it comes in a stubby, 11-oz bottle like your grandpa used to buy. So after your next session (surf, jam, gab, whatever), crack open a Session and drink to the good old new days. Named World's Best Premium Lager at the World Beer Awards and winner of a slew of other shiny trophies, Session has truly earned itself a place at the bar. Not to mention the barbeque.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Sail Brewing Co.,Session Premium Dark Lager,11 oz bottle,Dark Lager,"Short, Dark, and Drinkable. Our newest member of the family, Session Black, carries the mantra of drinkability into new territory. Most beers this dark are so heavy-duty, you could eat them with a fork. Session Black, on the other hand, lets you have your dark beer and drink it, too. With just a hint of roasty chocolate character, Session Black is short, dark, and totally drinkable. At long last, a dark beer that doesn't drink like a meal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
